Global,,Program Change 1,,Program Change 2,,Program Change 3,,Program Change 4,,Program Change 5,,Continuous Controller 1,,,Continuous Controller 2,,,Switch 1,Switch 2,Expression Pedal A,,,,Expression Pedal B,,,,Note,
MIDI Channel,,0,,0,,0,,0,,0,,0,,,0,,,N/A,N/A,0,,,,0,,,,0,
Bank,Preset,Enabled,Program,Enabled,Program,Enabled,Program,Enabled,Program,Enabled,Program,Enabled,Controller,Value,Enabled,Controller,Value,Enabled,Enabled,Enabled,Controller,Minimum,Maximum,Enabled,Controller,Minimum,Maximum,Enabled,Value
1,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,18,0,127,1,64
1,2,0,1,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,18,0,127,1,67
1,3,0,2,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,18,0,127,1,68
1,4,0,3,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,18,0,127,1,69
1,5,0,4,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,18,0,127,1,70
1,6,0,5,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,18,0,127,1,71
1,7,0,6,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,18,0,127,1,74
1,8,0,7,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,18,0,127,1,76
1,9,1,19,0,0,0,0,0,0,0,0,1,108,127,1,109,127,0,0,1,16,0,127,1,18,0,127,0,60
1,10,0,9,0,0,0,0,0,0,0,0,1,108,0,1,109,0,0,0,1,16,0,127,1,18,0,127,0,60
2,1,1,10,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
2,2,1,11,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
2,3,1,12,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
2,4,1,13,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
2,5,1,14,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
2,6,1,15,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
2,7,1,16,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
2,8,1,17,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
2,9,1,18,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
2,10,1,19,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
3,1,1,20,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
3,2,1,21,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
3,3,1,22,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
3,4,1,23,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
3,5,1,24,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
3,6,1,25,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
3,7,1,26,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
3,8,1,27,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
3,9,1,28,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
3,10,1,29,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
4,1,1,30,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
4,2,1,31,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
4,3,1,32,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
4,4,1,33,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
4,5,1,34,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
4,6,1,35,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
4,7,1,36,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
4,8,1,37,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
4,9,1,38,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
4,10,1,39,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
5,1,1,40,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
5,2,1,41,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
5,3,1,42,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
5,4,1,43,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
5,5,1,44,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
5,6,1,45,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
5,7,1,46,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
5,8,1,47,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
5,9,1,48,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
5,10,1,49,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
6,1,1,50,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
6,2,1,51,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
6,3,1,52,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
6,4,1,53,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
6,5,1,54,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
6,6,1,55,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
6,7,1,56,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
6,8,1,57,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
6,9,1,58,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
6,10,1,59,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
7,1,1,60,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
7,2,1,61,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
7,3,1,62,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
7,4,1,63,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
7,5,1,64,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
7,6,1,65,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
7,7,1,66,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
7,8,1,67,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
7,9,1,68,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
7,10,1,69,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
