Global,,Program Change 1,,Program Change 2,,Program Change 3,,Program Change 4,,Program Change 5,,Continuous Controller 1,,,Continuous Controller 2,,,Switch 1,Switch 2,Expression Pedal A,,,,Expression Pedal B,,,,Note,
MIDI Channel,,1,,0,,0,,0,,0,,0,,,0,,,N/A,N/A,0,,,,0,,,,0,
Bank,Preset,Enabled,Program,Enabled,Program,Enabled,Program,Enabled,Program,Enabled,Program,Enabled,Controller,Value,Enabled,Controller,Value,Enabled,Enabled,Enabled,Controller,Minimum,Maximum,Enabled,Controller,Minimum,Maximum,Enabled,Value
1,1,1,7,1,1,0,0,0,0,0,0,0,80,0,0,82,0,0,0,0,27,1,127,0,7,0,127,0,0
1,2,1,7,1,2,0,0,0,0,0,0,0,80,0,0,82,0,0,0,0,27,1,127,0,7,0,127,0,0
1,3,1,1,1,1,0,0,0,0,0,0,0,80,0,0,82,0,0,0,0,27,1,127,0,7,0,127,0,0
1,4,1,1,1,2,0,0,0,0,0,0,0,80,0,0,82,0,0,0,0,27,1,127,0,7,0,127,0,0
1,5,1,1,1,1,0,0,0,0,0,0,0,80,0,0,82,0,1,0,0,27,1,127,0,7,0,127,0,0
1,6,1,1,1,2,0,0,0,0,0,0,0,80,0,0,82,0,1,0,0,27,1,127,0,7,0,127,0,0
1,7,1,7,1,5,0,0,0,0,0,0,0,80,0,0,82,0,0,0,0,27,1,127,0,7,0,127,0,0
1,8,1,7,1,5,0,0,0,0,0,0,0,80,0,0,82,0,0,0,0,27,1,127,0,7,0,127,0,0
1,9,1,7,1,5,0,0,0,0,0,0,0,80,0,0,82,0,0,0,0,27,1,127,0,7,0,127,0,0
1,10,1,7,1,5,0,0,0,0,0,0,0,26,0,0,26,127,0,0,0,27,1,127,0,7,0,127,0,0
2,1,1,7,1,3,0,0,0,0,0,0,0,80,127,0,82,0,0,0,0,27,1,127,0,7,0,127,0,0
2,2,1,7,1,4,0,0,0,0,0,0,0,80,127,0,82,0,0,0,0,27,1,127,0,7,0,127,0,0
2,3,1,1,1,3,0,0,0,0,0,0,0,80,127,0,82,0,0,0,0,27,1,127,0,7,0,127,0,0
2,4,1,1,1,4,0,0,0,0,0,0,0,80,127,0,82,0,0,0,0,27,1,127,0,7,0,127,0,0
2,5,1,1,1,3,0,0,0,0,0,0,0,80,127,0,82,0,1,0,0,27,1,127,0,7,0,127,0,0
2,6,1,1,1,4,0,0,0,0,0,0,0,80,127,0,82,0,1,0,0,27,1,127,0,7,0,127,0,0
2,7,1,7,1,5,0,0,0,0,0,0,0,80,127,0,82,0,0,0,0,27,1,127,0,7,0,127,0,0
2,8,1,7,1,5,0,0,0,0,0,0,0,80,127,0,82,0,0,0,0,27,1,127,0,7,0,127,0,0
2,9,1,7,1,5,0,0,0,0,0,0,0,80,127,0,82,0,0,0,0,27,1,127,0,7,0,127,0,0
2,10,1,7,1,5,0,0,0,0,0,0,0,26,0,0,26,127,0,0,0,27,1,127,0,7,0,127,0,0
