Global,,Program Change 1,,Program Change 2,,Program Change 3,,Program Change 4,,Program Change 5,,Continuous Controller 1,,,Continuous Controller 2,,,Switch 1,Switch 2,Expression Pedal A,,,,Expression Pedal B,,,,Note,
MIDI Channel,,0,,0,,0,,0,,0,,0,,,0,,,N/A,N/A,0,,,,0,,,,0,
Bank,Preset,Enabled,Program,Enabled,Program,Enabled,Program,Enabled,Program,Enabled,Program,Enabled,Controller,Value,Enabled,Controller,Value,Enabled,Enabled,Enabled,Controller,Minimum,Maximum,Enabled,Controller,Minimum,Maximum,Enabled,Value
1,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,52
1,2,0,1,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,54
1,3,0,2,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,55
1,4,0,3,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,56
1,5,0,4,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,57
1,6,0,5,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,59
1,7,0,6,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,61
1,8,0,7,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,62
1,9,0,8,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,63
1,10,0,9,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,64
2,1,0,10,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,57
2,2,0,11,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,59
2,3,0,12,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,60
2,4,0,13,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,61
2,5,0,14,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,62
2,6,0,15,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,64
2,7,0,16,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,66
2,8,0,17,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,67
2,9,0,18,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,68
2,10,0,19,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,69
3,1,0,20,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,50
3,2,0,21,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,52
3,3,0,22,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,53
3,4,0,23,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,54
3,5,0,24,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,55
3,6,0,25,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,57
3,7,0,26,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,59
3,8,0,27,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,60
3,9,0,28,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,61
3,10,0,29,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,62
4,1,0,30,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,55
4,2,0,31,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,57
4,3,0,32,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,58
4,4,0,33,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,59
4,5,0,34,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,60
4,6,0,35,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,62
4,7,0,36,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,64
4,8,0,37,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,65
4,9,0,38,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,66
4,10,0,39,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,67
5,1,0,40,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,48
5,2,0,41,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,50
5,3,0,42,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,51
5,4,0,43,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,52
5,5,0,44,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,53
5,6,0,45,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,55
5,7,0,46,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,57
5,8,0,47,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,58
5,9,0,48,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,59
5,10,0,49,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,60
6,1,0,50,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,47
6,2,0,51,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,49
6,3,0,52,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,50
6,4,0,53,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,51
6,5,0,54,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,52
6,6,0,55,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,54
6,7,0,56,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,56
6,8,0,57,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,57
6,9,0,58,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,58
6,10,0,59,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,59
7,1,0,60,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,51
7,2,0,61,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,53
7,3,0,62,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,54
7,4,0,63,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,55
7,5,0,64,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,56
7,6,0,65,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,58
7,7,0,66,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,60
7,8,0,67,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,61
7,9,0,68,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,62
7,10,0,69,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,63
